runback,season,link,driver,items,kart,result,time,points,Luigi Circuit,Peach Beach,Baby Park,Dry Dry Desert,Mushroom Bridge,Mario Circuit,Daisy Cruiser,Waluigi Stadium,Sherbet Land,Mushroom City,Yoshi Circuit,DK Mountain,Wario Colosseum,Dino Dino Jungle,Bowser's Castle,Rainbow Road
8,2,,Derek,Ben,Toad Kart,win,33:25.834,152,1:37.193,1:27.850,1:19.934,2:06.404,1:38.918,1:44.421,2:01.491,2:09.018,1:43.850,1:55.960,2:15.600,2:20.779,2:31.096,2:17.184,2:49.908,3:26.228
9,3,https://youtu.be/u8espRU6Exs,Derek,Ben,Toad Kart,loss,33:57.005,142,1:42.786,1:25.219,1:28.104,2:05.604,1:38.611,1:51.179,2:06.693,2:07.715,1:39.980,2:04.065,2:07.679,2:30.116,2:31.404,2:18.078,2:53.523,3:26.249
9,3,https://youtu.be/u8espRU6Exs,Ryan,Chris,Barrel Train,win,34:04.947,144,1:42.741,1:30.293,1:30.384,2:06.730,1:34.344,1:50.152,2:01.508,2:04.724,1:37.852,2:01.053,2:09.110,2:20.572,2:28.365,2:24.321,3:01.655,3:41.143
10,3,https://youtu.be/_4ALY6GMIkI,Derek,Chris,Waluigi Racer,,,,1:41.238,1:39.174,1:20.356,2:16.636,1:35.155,1:52.700,2:03.712,2:18.929,,1:57.328,2:07.217,2:24.597,2:43.813,,,
10,3,https://youtu.be/_4ALY6GMIkI,Ryan,Ben,Waluigi Racer,,,,1:36.669,1:35.154,1:24.072,2:02.873,1:41.649,1:55.135,2:12.056,2:12.393,,1:56.668,2:05.790,2:34.903,2:41.113,,,
11,3,https://youtu.be/YDSqpHJt-W4,Derek,Chris,Toadette Kart,win,34:04.294,142,1:37.746,1:31.864,1:29.515,1:56.522,1:41.991,1:46.555,2:01.413,2:15.253,1:36.043,2:02.191,2:20.680,2:27.103,2:26.376,2:19.876,2:59.896,3:31.270
11,3,https://youtu.be/YDSqpHJt-W4,Ryan,Ben,Barrel Train,loss,34:18.815,138,1:44.344,1:31.696,1:25.356,1:58.342,1:39.953,1:56.294,1:58.263,2:09.088,1:39.828,1:59.151,2:24.589,2:27.922,2:29.283,2:18.434,3:04.382,3:31.890
12,3,https://youtu.be/VJMYFFepo0o,Ryan,Derek,Barrel Train,,,,1:38.895,1:24.989,1:31.424,2:00.613,1:37.418,1:50.097,2:06.324,2:15.755,1:35.146,1:57.892,2:06.504,2:29.587,2:33.492,2:35.941,,
12,3,https://youtu.be/VJMYFFepo0o,Ben,Chris,Toad Kart,,,,1:39.819,1:25.009,1:34.658,2:11.715,1:37.986,1:45.716,2:09.146,2:12.873,1:39.654,2:01.007,2:11.087,2:33.125,2:36.103,2:10.780,,
13,3,https://youtu.be/NprTDzSkoyk,Derek,Chris,Toad Kart,win,33:48.493,144,1:35.914,1:31.753,1:25.345,2:02.811,1:40.298,1:53.056,2:05.083,2:09.710,1:35.611,1:58.728,2:17.896,2:22.873,2:29.214,2:13.340,2:58.208,3:28.653
13,3,https://youtu.be/NprTDzSkoyk,Ben,Ryan,Barrel Train,loss,34:40.871,142,1:35.323,1:28.801,1:27.114,2:05.537,1:37.588,1:55.112,2:03.549,2:09.385,1:30.878,1:56.137,2:15.476,2:23.148,2:45.354,2:23.615,3:25.711,3:38.143
14,3,https://youtu.be/_bILbfV21ZI,Derek,Chris,Koopa Dasher,win,34:13.065,144,1:36.545,1:30.393,1:23.661,2:06.488,1:42.964,1:52.453,2:01.142,2:20.740,1:37.964,1:58.556,2:14.155,2:20.776,2:32.422,2:13.510,2:58.143,3:43.153
14,3,https://youtu.be/_bILbfV21ZI,Ben,Ryan,Toad Kart,loss,34:20.287,140,1:36.388,1:35.643,1:31.400,2:04.436,1:43.244,1:53.081,2:07.330,2:17.094,1:33.991,2:08.002,2:10.442,2:21.889,2:38.338,2:16.847,2:56.726,3:25.436
15,3,https://youtu.be/6PRA42kmZCk,Ryan,Derek,Barrel Train,win,33:24.152,148,1:38.837,1:25.477,1:25.764,2:02.472,1:41.528,1:46.162,1:58.693,2:00.084,1:28.413,1:59.988,2:09.970,2:24.150,2:20.539,2:20.247,3:02.680,3:39.148
15,3,https://youtu.be/6PRA42kmZCk,Ben,Chris,Toad Kart,loss,34:01.799,130,1:34.001,1:28.100,1:26.772,2:01.767,1:47.476,1:56.305,2:00.196,2:08.315,1:32.348,1:57.588,2:12.573,2:22.200,2:28.451,2:29.298,3:12.289,3:24.120
16,3,https://youtu.be/yKwcrk2EQy8,Derek,Chris,Toad Kart,win,33:28.124,144,1:39.958,1:24.500,1:21.139,2:04.257,1:41.076,1:49.331,2:05.569,2:11.638,1:28.709,2:03.384,2:06.155,2:16.305,2:33.417,2:15.522,2:55.369,3:31.795
16,3,https://youtu.be/yKwcrk2EQy8,Ryan,Ben,Barrel Train,loss,33:32.184,144,1:36.079,1:26.517,1:26.476,1:53.729,1:38.248,1:45.891,2:03.815,2:10.496,1:35.136,2:01.004,2:04.032,2:17.705,2:34.951,2:17.463,3:06.234,3:34.408
17,4,https://youtu.be/uqEr5C7pXCU,Ryan,Derek,Barrel Train,win,33:06.609,160,1:34.187,1:20.745,1:20.923,2:02.826,1:32.145,1:47.648,2:03.100,1:58.641,1:30.793,1:58.130,2:22.265,2:13.775,2:31.948,2:16.353,3:00.443,3:32.687
17,4,https://youtu.be/uqEr5C7pXCU,Chris,Ben,Toad Kart,loss,35:09.534,122,1:37.952,1:30.686,1:25.549,2:06.625,1:41.112,1:52.608,2:12.293,2:13.550,1:39.077,2:10.376,2:23.075,2:25.056,2:40.402,2:19.708,3:06.731,3:44.734
18,4,https://youtu.be/LSBt4ONsl94,Derek,Ryan,Toad Kart,win,33:33.950,150,1:34.273,1:25.214,1:23.744,2:08.977,1:37.198,1:49.252,2:05.550,2:16.667,1:34.904,1:57.053,2:15.128,2:19.496,2:22.494,2:11.061,2:54.874,3:38.065
18,4,https://youtu.be/LSBt4ONsl94,Ben,Chris,Barrel Train,loss,34:44.055,138,1:39.449,1:30.220,1:19.239,2:09.194,1:43.321,1:51.640,2:05.211,2:12.418,1:37.548,1:58.697,2:13.712,2:31.383,2:42.373,2:24.547,3:13.710,3:31.393
19,4,https://youtu.be/avGZiLf5Rxg,Ryan,Chris,Barrel Train,win,33:57.108,144,1:35.348,1:25.060,1:21.861,2:04.536,1:41.170,1:42.524,1:54.706,2:09.504,1:36.555,1:53.747,2:03.509,2:33.739,2:39.795,2:24.318,3:03.695,3:47.041
19,4,https://youtu.be/avGZiLf5Rxg,Ben,Derek,Barrel Train,loss,34:27.034,134,1:31.158,1:29.585,1:17.975,2:01.900,1:41.195,1:48.800,2:01.194,2:13.286,1:37.440,2:01.587,2:15.273,2:28.423,2:44.895,2:40.918,2:59.381,3:34.024
20,4,https://youtu.be/QoVVPh75z5o,Derek,Ben,Toad Kart,win,33:16.533,142,1:40.456,1:25.736,1:21.787,1:57.960,1:34.617,1:51.112,1:55.832,2:02.563,1:35.659,2:12.650,2:11.657,2:19.751,2:28.156,2:09.589,3:01.794,3:27.214
20,4,https://youtu.be/QoVVPh75z5o,Ryan,Chris,Barrel Train,loss,33:41.357,138,1:42.282,1:28.882,1:18.242,2:03.962,1:36.619,1:48.446,1:54.646,2:08.706,1:31.692,1:55.882,2:13.102,2:26.327,2:40.877,2:23.608,2:57.804,3:30.280
21,4,https://youtu.be/g9afi6qpMtA,Chris,Ryan,Toad Kart,loss,34:26.742,135,1:35.028,1:28.018,1:26.149,2:05.630,1:40.749,1:51.146,2:04.535,2:11.295,1:38.294,1:59.980,2:07.163,2:34.990,2:31.177,2:29.923,3:06.547,3:36.118
21,4,https://youtu.be/g9afi6qpMtA,Ben,Derek,Barrel Train,win,33:51.885,142,1:36.184,1:23.787,1:18.016,2:06.594,1:34.585,1:54.216,2:02.408,2:12.627,1:37.103,2:09.752,2:08.269,2:22.998,2:45.468,2:12.600,2:58.540,3:28.738
22,4,https://youtu.be/Bd9j_w2iZj0,Derek,Chris,Barrel Train,loss,34:09.436,132,1:32.173,1:33.358,1:21.462,1:56.387,1:44.504,1:48.827,2:08.222,2:23.355,1:37.983,2:01.088,2:06.951,2:33.855,2:41.994,2:08.584,2:50.910,3:39.783
22,4,https://youtu.be/Bd9j_w2iZj0,Ryan,Ben,Barrel Train,win,33:06.684,146,1:35.191,1:24.211,1:25.494,1:51.009,1:38.352,1:47.498,2:06.122,2:02.544,1:43.453,1:56.282,2:01.665,2:19.300,2:27.942,2:11.682,2:54.815,3:41.124
23,4,https://youtu.be/v9ytAn2k9uo,Ryan,Derek,Bullet Blaster,win,33:39.308,150,1:37.235,1:30.286,1:20.521,2:00.014,1:35.068,1:51.669,2:06.428,2:15.782,1:34.340,1:54.528,2:07.320,2:12.606,2:24.634,2:16.170,3:14.271,3:38.436
23,4,https://youtu.be/v9ytAn2k9uo,Ben,Chris,Barrel Train,loss,34:44.311,128,1:37.061,1:36.166,1:24.597,2:03.788,1:35.427,1:54.919,2:04.927,2:01.453,1:36.883,1:52.974,2:11.611,2:35.334,2:49.770,2:27.335,3:05.619,3:46.447
24,4,https://youtu.be/U5-wUHpzfGg,Derek,Ryan,Barrel Train,win,33:31.578,150,1:31.423,1:26.142,1:19.414,2:01.724,1:39.640,1:49.549,2:00.553,2:12.064,1:25.553,1:50.294,2:04.440,2:31.058,2:42.741,2:19.760,3:00.223,3:37.000
24,4,https://youtu.be/U5-wUHpzfGg,Chris,Ben,Toad Kart,loss,34:01.069,130,1:34.983,1:28.996,1:22.954,2:02.654,1:44.275,1:53.440,2:04.228,2:18.180,1:34.571,2:02.452,2:09.814,2:18.978,2:46.105,2:15.049,3:04.946,3:19.444
25,4,https://youtu.be/fPNkauOuyyg,Ryan,Chris,Barrel Train,win,32:15.563,150,1:35.417,1:29.876,1:20.625,1:57.398,1:41.472,1:51.996,1:57.650,1:53.844,1:30.704,1:57.271,2:07.811,2:09.542,2:23.058,2:07.846,2:47.104,3:23.949
25,4,https://youtu.be/fPNkauOuyyg,Ben,Derek,Barrel Train,loss,34:03.569,130,1:33.992,1:23.882,1:30.091,1:56.956,1:41.475,1:50.797,2:11.112,2:01.712,1:38.734,1:53.870,2:17.792,2:34.433,2:25.821,2:18.195,3:01.750,3:42.957
26,5,https://youtu.be/orwBT29E-dM,Derek,Chris,Koopa Dasher,loss,33:16.669,136,1:39.985,1:24.857,1:21.700,1:58.367,1:41.822,1:50.572,2:04.108,2:10.600,1:32.364,1:59.940,2:09.062,2:23.207,2:24.328,2:11.799,3:03.246,3:20.712
26,5,https://youtu.be/orwBT29E-dM,Ryan,Ben,Bullet Blaster,win,33:02.612,152,1:39.548,1:22.087,1:15.561,1:59.753,1:41.170,1:50.292,2:02.945,2:03.205,1:33.486,1:55.487,2:07.352,2:13.091,2:18.673,2:15.451,2:55.825,3:48.686
27,5,https://youtu.be/oDiW3omNBBY,Derek,Chris,Koopa Dasher,win,33:25.311,146,1:45.040,1:26.290,1:29.085,1:53.128,1:35.070,1:52.481,2:11.196,2:11.791,1:27.469,1:59.681,2:11.454,2:19.080,2:28.294,2:09.891,2:50.802,3:34.559
27,5,https://youtu.be/oDiW3omNBBY,Ben,Ryan,Barrel Train,loss,34:33.337,138,1:38.721,1:34.128,1:29.022,2:01.149,1:43.410,1:51.986,2:06.977,2:01.308,1:45.961,2:01.193,2:18.000,2:28.265,2:22.226,2:18.832,3:04.388,3:47.771
28,5,https://youtu.be/zDALM27w26I,Ryan,Ben,Bullet Blaster,win,33:25.761,144,1:32.499,1:24.850,1:23.829,1:58.883,1:40.627,1:51.029,2:03.891,2:09.314,1:36.221,1:48.201,2:07.600,2:18.137,2:21.439,2:19.256,3:07.645,3:42.340
28,5,https://youtu.be/zDALM27w26I,Chris,Derek,Toadette Kart,loss,34:12.528,140,1:35.383,1:21.494,1:20.127,2:05.850,1:41.255,1:50.632,2:07.578,2:11.507,1:34.427,1:58.555,2:13.177,2:31.264,2:36.140,2:17.294,3:07.638,3:40.207
29,5,https://youtu.be/g1vIboP36Vw,Derek,Ryan,Bloom Coach,win,33:14.071,158,1:34.531,1:24.558,1:19.315,1:59.393,1:36.488,1:53.902,2:09.098,2:12.075,1:29.688,2:00.421,2:09.712,2:24.677,2:33.339,2:06.870,2:59.059,3:20.945
29,5,https://youtu.be/g1vIboP36Vw,Ben,Chris,Barrel Train,loss,34:49.169,114,1:39.676,1:20.334,1:21.408,2:03.273,1:45.145,1:55.951,2:14.836,2:12.787,1:30.398,2:03.080,2:11.873,2:31.596,2:36.741,2:16.476,3:12.230,3:53.365
30,5,https://youtu.be/-706WsfqVkQ,Derek,Chris,Bloom Coach,loss,33:12.886,142,1:32.834,1:20.954,1:16.329,2:00.943,1:34.496,1:54.173,1:57.823,2:12.583,1:30.146,1:56.685,2:09.172,2:29.629,2:25.987,2:08.751,2:58.813,3:43.568
30,5,https://youtu.be/-706WsfqVkQ,Ryan,Ben,Boo Pipes,win,33:40.168,144,1:33.766,1:26.250,1:26.772,1:57.521,1:39.563,1:52.592,2:06.832,2:08.772,1:37.889,1:55.986,2:09.126,2:30.815,2:21.464,2:19.522,2:58.555,3:34.743
31,5,https://youtu.be/kvzU2xFZJdQ,Ben,Derek,Barrel Train,win,34:40.050,144,1:39.207,1:32.862,1:27.601,2:08.375,1:37.692,1:58.014,2:06.788,2:16.784,1:33.258,2:04.732,2:25.687,2:22.462,2:36.706,2:13.810,2:56.633,3:39.439
31,5,https://youtu.be/kvzU2xFZJdQ,Chris,Ryan,Toadette Kart,loss,35:06.091,138,1:38.136,1:36.743,1:24.858,2:06.568,1:41.059,1:56.695,2:09.741,2:19.313,1:32.813,2:06.346,2:15.264,2:24.059,2:25.250,2:23.592,3:11.881,3:53.773
32,5,https://youtu.be/8EAOtxeCfLE,Derek,Ryan,Bloom Coach,win,33:51.751,152,1:33.680,1:35.077,1:25.620,2:02.019,1:46.716,1:54.702,2:02.176,2:10.356,1:29.124,1:56.973,2:18.354,2:19.156,2:28.617,2:18.428,3:07.364,3:23.389
32,5,https://youtu.be/8EAOtxeCfLE,Chris,Ben,Green Fire,loss,36:48.114,97,1:35.928,1:36.112,1:17.807,2:10.452,1:43.152,1:54.651,2:13.097,2:24.475,1:44.166,2:18.579,2:31.503,2:27.598,2:51.856,2:35.344,3:32.047,3:51.347
33,5,https://youtu.be/FrrxODFLgn8,Derek,Chris,Bloom Coach,win,33:31.152,140,1:33.471,1:27.456,1:21.078,2:09.668,1:35.127,1:49.151,1:59.308,2:13.340,1:27.286,1:59.879,2:13.318,2:28.600,2:24.450,2:13.861,3:05.050,3:30.109
33,5,https://youtu.be/FrrxODFLgn8,Ryan,Ben,Barrel Train,loss,33:30.984,138,1:35.241,1:23.862,1:18.427,2:09.906,1:38.892,1:48.298,2:03.526,1:57.934,1:37.703,1:57.958,2:09.012,2:28.811,2:22.754,2:10.268,3:05.676,3:42.716
34,5,https://youtu.be/5HINsTQIo1Q,Derek,Chris,Bloom Coach,,,,1:37.342,,,1:59.303,1:33.760,1:49.639,1:59.772,,,,,,2:27.396,,2:48.806,
34,5,https://youtu.be/5HINsTQIo1Q,Ryan,Ben,Barrel Train,,,,1:35.153,,,1:54.955,1:33.848,1:46.167,2:01.364,,,,,,2:31.073,,2:43.785,
35,5,https://youtu.be/5HINsTQIo1Q?t=1231,Derek,Chris,Bloom Coach,,,,1:34.006,1:22.618,1:23.767,1:55.587,1:40.018,1:49.691,,2:09.288,1:25.532,,2:06.569,,2:25.178,2:33.275,2:54.900,
35,5,https://youtu.be/5HINsTQIo1Q?t=1231,Ryan,Ben,Barrel Train,,,,1:30.404,1:33.487,1:21.889,1:55.946,1:38.095,1:55.256,,2:02.115,1:32.579,,2:09.160,,2:35.090,2:17.113,2:55.243,
36,5,https://youtu.be/UV1RTyGgAzE,Ben,Ryan,Toad Kart,win,33:11.035,146,1:35.030,1:30.250,1:28.325,1:55.097,1:38.443,1:51.543,1:56.256,2:06.465,1:32.304,1:53.282,2:08.119,2:23.050,2:18.888,2:14.983,3:06.000,3:33.000
36,5,https://youtu.be/UV1RTyGgAzE,Chris,Derek,Toad Kart,loss,33:39.161,142,1:34.206,1:30.545,1:27.406,1:55.766,1:38.041,1:50.162,2:02.359,2:04.673,1:30.899,2:00.915,2:10.081,2:29.499,2:26.152,2:17.457,3:05.000,3:36.000
37,5,https://youtu.be/BcWhjc548LI,Derek,Ryan,Bloom Coach,win,33:16.427,144,1:33.138,1:27.243,1:20.323,2:04.862,1:42.720,1:51.939,1:56.081,2:09.448,1:35.280,1:52.565,2:27.172,2:17.121,2:25.208,2:09.552,2:56.141,3:27.634
37,5,https://youtu.be/BcWhjc548LI,Ben,Chris,Toad Kart,loss,33:12.072,142,1:31.910,1:29.283,1:21.175,1:59.276,1:32.670,1:51.837,1:59.345,2:16.453,1:32.697,2:01.968,2:09.100,2:10.984,2:22.789,2:15.792,3:03.180,3:33.613
38,6,https://youtu.be/O_k8zSQqIP8,Derek,Chris,Barrel Train,loss,32:19.751,140,1:31.062,1:22.779,1:14.343,1:53.199,1:33.396,1:43.345,2:00.108,2:15.117,1:35.328,1:56.045,1:58.040,2:18.074,2:26.367,2:12.408,2:48.284,3:31.856
38,6,https://youtu.be/O_k8zSQqIP8,Ryan,Ben,Barrel Train,win,31:49.414,148,1:26.080,1:23.575,1:11.581,1:53.435,1:31.434,1:45.808,2:01.116,2:08.305,1:32.266,1:51.996,2:04.566,2:21.431,2:23.636,2:07.084,2:45.348,3:21.753
39,6,https://youtu.be/o2668sugiqM,Derek,Ben,Bloom Coach,win,33:04.389,148,1:38.971,1:24.638,1:26.152,1:58.397,1:39.406,1:47.481,2:00.895,2:05.898,1:30.075,1:59.799,2:09.310,2:14.876,2:29.272,2:15.509,2:51.410,3:32.300
39,6,https://youtu.be/o2668sugiqM,Chris,Ryan,Toad Kart,loss,33:28.128,140,1:37.775,1:26.314,1:26.060,1:59.920,1:42.464,1:48.199,2:03.602,2:06.206,1:31.922,1:58.123,2:18.129,2:23.282,2:27.282,2:11.271,2:58.263,3:29.316
40,6,https://youtu.be/2uvC1qRsB_M,Ben,Derek,Toad Kart,win,32:35.767,146,1:30.596,1:29.901,1:22.945,1:52.699,1:32.402,1:44.000,1:57.689,2:03.111,1:36.452,1:55.856,2:08.773,2:26.210,2:23.056,2:07.681,2:56.482,3:27.914
40,6,https://youtu.be/2uvC1qRsB_M,Ryan,Chris,Barrel Train,loss,32:09.408,140,1:31.641,1:35.586,1:17.205,1:57.341,1:34.394,1:45.051,2:00.961,2:01.241,1:26.782,1:48.569,2:11.698,2:11.131,2:23.897,2:19.897,2:40.065,3:23.949
41,6,https://youtu.be/PQbWbAU7qIQ,Ryan,Derek,Barrel Train,win,32:46.100,154,1:37.793,1:20.208,1:22.222,2:05.122,1:37.962,1:44.140,2:01.877,2:10.856,1:28.568,1:52.824,2:04.074,2:11.313,2:26.322,2:19.699,2:55.701,3:27.419
41,6,https://youtu.be/PQbWbAU7qIQ,Chris,Ben,Toad Kart,loss,33:37.731,134,1:38.339,1:22.108,1:29.039,1:59.115,1:40.512,1:48.972,2:05.216,2:09.196,1:34.367,1:58.639,2:08.315,2:23.858,2:31.879,2:14.372,2:59.686,3:34.118
42,6,https://youtu.be/dmFqluSL1c4,Derek,Ryan,Red Fire,loss,33:01.886,132,1:32.642,1:25.475,1:20.977,1:57.866,1:42.036,1:47.227,1:57.609,2:09.110,1:37.726,1:54.986,2:07.036,2:21.853,2:27.555,2:25.778,2:49.567,3:24.443
42,6,https://youtu.be/dmFqluSL1c4,Ben,Chris,Barrel Train,win,31:51.256,156,1:33.615,1:20.993,1:13.362,1:53.943,1:31.820,1:45.248,1:52.341,2:07.983,1:34.219,1:47.835,2:03.441,2:07.711,2:22.752,2:15.689,2:45.114,3:35.190
43,7,https://youtu.be/bC_faLcx-Z0,Derek,Chris,Bloom Coach,loss,33:12.587,136,1:34.562,1:25.520,1:19.967,2:06.627,1:33.425,1:57.778,2:02.138,2:12.661,1:33.663,1:53.926,2:11.044,2:25.320,2:23.217,2:08.664,2:56.280,3:27.795
43,7,https://youtu.be/bC_faLcx-Z0,Ryan,Ben,Barrel Train,win,32:45.612,152,1:28.770,1:23.638,1:16.690,2:06.524,1:31.260,1:56.517,2:00.710,2:12.767,1:32.443,1:48.362,2:14.940,2:21.221,2:22.551,2:11.266,2:41.735,3:36.218
44,7,https://youtu.be/crHsiKaEM_s,Chris,Ryan,Toad Kart,loss,33:58.221,140,1:37.279,1:33.824,1:24.214,2:04.115,1:34.208,1:53.331,2:06.196,2:09.132,1:38.817,1:57.637,2:16.150,2:27.150,2:36.677,2:10.996,2:57.531,3:30.964
44,7,https://youtu.be/crHsiKaEM_s,Ben,Derek,Barrel Train,win,33:57.558,144,1:31.443,1:35.241,1:25.523,2:01.151,1:39.157,1:52.597,2:03.997,2:09.354,1:35.487,1:56.582,2:14.397,2:25.996,2:31.474,2:13.796,2:56.830,3:44.533
45,7,https://youtu.be/6jsygqwdnCQ,Derek,Ryan,Barrel Train,win,33:24.836,149,1:34.429,1:25.276,1:21.051,1:59.103,1:42.174,1:43.459,2:01.789,2:23.689,1:31.641,1:53.845,2:03.643,2:23.053,2:30.861,2:08.463,2:56.124,3:46.236
45,7,https://youtu.be/6jsygqwdnCQ,Chris,Ben,Heart Coach,loss,35:03.681,132,1:37.622,1:26.386,1:27.530,2:10.361,1:40.808,1:52.533,2:11.537,2:15.947,1:38.953,1:56.929,2:17.463,2:27.189,2:39.933,2:23.593,3:15.150,3:41.747
46,7,https://youtu.be/UEvlO6NqlBo,Derek,Ben,Barrel Train,,,,1:33.707,1:22.124,1:18.295,2:03.695,,1:51.221,1:57.822,2:13.211,1:27.920,2:03.031,,,,,,
46,7,https://youtu.be/UEvlO6NqlBo,Ryan,Chris,Barrel Train,,,,1:28.573,1:24.938,1:17.509,1:53.225,,1:46.963,1:54.420,2:06.561,1:23.408,1:57.797,,,,,,
47,7,https://youtu.be/nsaYdnLL7BA,Derek,Ben,Heart Coach,loss,33:23.873,140,1:37.144,1:22.751,1:21.158,2:02.350,1:40.345,1:54.280,2:01.263,2:09.927,1:34.168,2:03.412,2:08.141,2:19.744,2:28.018,2:17.204,2:59.311,3:24.657
47,7,https://youtu.be/nsaYdnLL7BA,Ryan,Chris,Barrel Train,win,33:06.112,144,1:33.690,1:29.299,1:13.938,1:52.738,1:36.020,2:00.069,1:56.364,2:00.222,1:32.595,2:02.809,2:10.254,2:20.803,2:27.076,2:14.432,3:02.783,3:33.020
48,7,https://youtu.be/ncUMny4FQIs,Ryan,Derek,Bullet Blaster,win,33:18.221,150,1:36.053,1:30.259,1:28.025,1:59.973,1:39.458,1:50.755,1:59.393,2:04.663,1:33.989,1:57.891,2:08.301,2:15.422,2:39.181,2:16.120,2:44.613,3:34.125
48,7,https://youtu.be/ncUMny4FQIs,Ben,Chris,Barrel Train,loss,34:26.291,128,1:38.188,1:28.997,1:16.781,2:02.654,1:42.029,1:58.849,2:05.099,2:07.331,1:27.863,1:56.939,2:04.454,2:29.544,2:43.269,2:38.400,3:00.870,3:45.024
